order_id,product_id,category,quantity,unit_price
1000000,28430,office,2,47.99
1000000,62496,jewelry,2,2026.20
1000001,93291,office,3,23.86
1000001,75516,office,2,147.30
1000001,70732,books,3,36.71
1000001,94165,beauty,2,89.98
1000002,97920,music,1,31.21
1000002,58159,home,1,157.52
1000002,88085,automotive,2,592.03
1000002,99279,office,1,36.86
1000002,10485,office,3,138.50
1000002,21019,office,1,161.98
1000002,34563,office,1,46.46
1000002,85924,grocery,1,9.00
1000002,71741,office,1,150.67
1000002,97154,office,1,199.48
1000002,11596,office,1,172.92
1000002,79106,sports,1,304.26
1000003,91681,electronics,1,1046.00
1000003,21639,office,1,154.88
1000003,53843,office,2,5.63
1000003,63266,office,1,104.00
1000003,14669,office,3,34.80
1000003,86139,garden,2,276.53
1000003,56459,office,3,176.35
1000003,25760,office,5,176.21
1000003,40398,music,3,24.53
1000003,63524,office,1,189.64
1000004,74269,office,1,144.03
1000005,69786,office,1,17.49
1000005,84545,office,2,6.40
1000006,14669,office,1,59.30
1000006,10132,office,1,52.38
1000006,40913,office,1,133.50
1000006,15330,office,10,136.31
1000006,95907,office,1,161.12
1000007,82766,home,1,171.47
1000007,17617,jewelry,1,461.71
1000007,41960,electronics,2,485.05
1000007,55632,garden,1,202.62
1000007,27081,jewelry,2,1473.20
1000007,80419,jewelry,2,1485.39
1000007,30903,jewelry,1,2404.30
1000008,82042,office,2,53.01
1000009,85787,books,2,18.62
1000009,40520,garden,1,205.45
1000010,53026,jewelry,1,238.76
1000011,99032,books,3,16.20
1000012,76966,books,1,56.45
1000012,80523,jewelry,2,2230.90
1000012,68943,garden,1,218.67
1000012,80812,garden,4,152.70
1000013,99693,books,2,48.10
1000013,79733,electronics,1,863.39
1000013,76716,garden,3,169.13
1000013,18373,electronics,1,260.97
1000013,53860,music,1,18.38
1000014,25736,garden,1,278.62
1000014,94429,jewelry,1,492.01
1000014,35034,beauty,1,119.10
1000014,19566,jewelry,1,665.53
1000014,70118,jewelry,1,2154.97
1000014,53823,beauty,3,51.34
1000015,46934,jewelry,1,2419.21
1000016,74132,jewelry,10,341.43
1000016,47806,books,2,9.99
1000016,85627,beauty,10,69.97
1000016,61006,garden,2,85.36
1000016,87707,garden,1,116.90
1000017,66699,books,2,34.37
1000017,78247,books,1,36.83
1000017,45143,automotive,1,679.62
1000018,33444,electronics,2,1195.78
1000019,70898,garden,1,201.75
1000020,50545,automotive,3,296.62
1000020,97114,garden,2,295.37
1000020,48902,electronics,2,1338.31
1000020,30138,electronics,1,647.51
1000020,58932,jewelry,1,1959.35
1000021,71324,jewelry,3,1173.77
1000022,74118,grocery,2,28.73
1000023,32591,electronics,3,719.10
1000024,13315,fashion,1,34.77
1000025,21746,grocery,1,12.22
1000025,85356,toys,3,89.66
1000025,71445,grocery,2,41.09
1000025,99882,toys,1,24.93
1000026,39375,toys,5,40.61
1000027,41205,beauty,1,39.84
1000027,62957,grocery,1,42.88
1000027,89181,electronics,2,259.23
1000027,10995,grocery,3,32.38
1000028,26056,home,1,386.42
1000028,24221,office,5,137.08
1000028,23487,fashion,2,37.48
1000029,32932,grocery,2,36.44
1000030,85860,beauty,1,9.80
1000031,68240,pet,1,32.62
1000031,18058,toys,4,77.75
1000031,84383,toys,2,100.83
1000032,81378,fashion,2,192.61
1000033,95797,grocery,1,26.32
1000034,91624,toys,1,54.48
1000034,60105,office,1,112.93
1000034,23289,office,1,142.06
1000034,78107,pet,1,39.51
1000035,27166,toys,10,89.70
1000036,26620,office,1,39.99
1000036,54657,toys,2,117.17
