order_id,customer_id,order_ts,currency
1000000,1,2023-08-18 02:11:07,sgd
1000001,1,2023-10-04 02:16:07,sgd
1000002,1,2023-12-10 12:51:39,sgd
1000003,1,2024-04-08 14:40:38,sgd
1000004,1,2024-01-31 11:35:14,sgd
1000005,1,2023-12-08 07:04:32,sgd
1000006,1,2023-09-23 17:56:51,sgd
1000007,2,2023-09-03 15:14:40,EUR
1000008,2,2022-03-15 15:52:04,CNY
1000009,2,2022-04-04 01:15:19,EUR
1000010,2,2023-11-22 02:49:03,EUR
1000011,2,2022-06-04 07:56:51,EUR
1000012,2,2022-10-29 05:32:49,EUR
1000013,2,2022-02-14 22:33:18,EUR
1000014,2,2022-09-19 08:57:02,EUR
1000015,2,2022-08-28 18:07:46,EUR
1000016,2,2023-03-07 11:29:58,EUR
1000017,2,2023-11-13 11:30:35,EUR
1000018,2,2022-10-28 02:30:59,EUR
1000019,2,2023-02-10 08:27:56,EUR
1000020,2,2023-05-11 02:21:21,EUR
1000021,2,2023-12-27 08:26:39,EUR
1000022,2,2023-03-19 08:52:40,EUR
1000023,2,2023-01-18 17:40:49,EUR
1000024,3,2023-02-19 15:40:11,EUR
1000025,4,2022-09-09 05:18:14,YEN
1000026,4,2021-11-04 10:27:05,YEN
1000027,4,2021-10-24 16:16:51,sgd
1000028,4,2022-11-10 00:47:52,YEN
1000029,4,2021-10-11 14:25:20,YEN
1000030,4,2022-02-21 19:08:07,YEN
1000031,4,2021-02-21 16:09:35,YEN
1000032,4,2023-06-13 03:04:44,YEN
1000033,5,2021-10-04 06:58:00,EUR
1000034,5,2023-07-31 02:35:38,EUR
1000035,5,2024-01-25 06:49:00,EUR
1000036,5,2023-07-01 15:19:58,EUR
1000037,5,2022-02-27 18:21:01,EUR
1000038,5,2023-07-01 05:34:35,EUR
1000039,5,2023-03-27 19:20:24,EUR
1000040,5,2023-08-24 03:16:43,EUR
1000041,5,2023-08-31 03:34:08,EUR
1000042,5,2023-11-12 17:41:30,EUR
1000043,5,2023-03-21 19:33:47,rmb
1000044,6,2022-08-30 18:07:47,rmb
1000045,6,2023-03-23 21:13:31, sgd
1000046,6,2023-05-25 20:37:22,rmb
1000047,6,2022-07-26 14:07:15,rmb
1000048,6,2023-03-22 15:31:51,rmb
1000049,6,2023-01-30 05:28:08,rmb
1000050,6,2023-10-21 23:07:11,rmb
1000051,7,2021-04-01 03:12:16,rmb
1000052,7,2021-07-16 10:59:25,rmb
1000053,7,2022-09-26 07:21:27,rmb
1000054,7,2023-12-17 16:24:44,rmb
1000055,7,2023-03-17 11:18:56,rmb
1000056,7,2023-02-22 16:32:18,rmb
1000057,7,2022-12-23 19:49:14,rmb
1000058,7,2022-08-19 14:05:07,rmb
1000059,8,2023-05-20 01:32:14,sgd
1000060,8,2023-07-08 22:09:20, sgd
1000061,8,2024-01-30 23:11:56,sgd
1000062,8,2023-08-01 10:07:11,rmb
1000063,8,2023-05-17 18:25:14,sgd
1000064,8,2023-06-11 13:35:09,sgd
1000065,8,2023-07-23 18:49:48,sgd
1000066,8,2023-10-13 16:45:37,sgd
1000067,8,2023-07-25 10:14:11,sgd
1000068,8,2023-06-26 19:25:59,sgd
1000069,8,2023-03-27 07:35:53,sgd
1000070,9,2023-02-18 04:20:28,RMB
1000071,9,2022-01-07 20:24:43,RMB
1000072,9,2022-04-03 13:56:04,RMB
1000073,9,2022-12-07 02:24:16,JPY
1000074,9,2022-05-24 07:11:39,RMB
1000075,9,2023-05-19 14:14:20,GBP
1000076,10,2022-08-27 09:52:29,cny
1000077,10,2021-08-26 20:21:42,cny
1000078,10,2021-12-17 18:27:29,cny
1000079,10,2020-03-08 22:23:11,cny
1000080,11,2023-02-10 12:00:47,USD
1000081,11,2023-06-12 04:06:12,USD
1000082,11,2022-04-10 15:11:10,USD
1000083,11,2022-07-30 05:05:23,USD
1000084,11,2022-05-04 19:54:42,USD
1000085,11,2020-10-20 04:29:38,USD
1000086,11,2021-03-31 09:00:46,USD
1000087,11,2022-08-11 10:18:58,USD
1000088,11,2022-07-06 12:45:47,EUR
1000089,12,2024-01-04 12:19:57,JPY
1000090,13,2022-08-22 11:06:39,yen
1000091,15,2024-04-05 13:38:04,usd
1000092,15,2024-02-26 14:48:14,usd
1000093,15,2024-03-06 14:20:34,usd
1000094,15,2024-02-11 14:42:07,usd
1000095,16,2021-09-18 15:44:15,cny
1000096,16,2021-03-01 05:07:22,cny
1000097,16,2021-06-26 21:27:21,cny
1000098,16,2020-09-14 10:12:45,cny
1000099,17,2021-11-12 12:17:33,USD
1000100,17,2022-12-30 02:55:06,USD
1000101,17,2023-11-27 07:09:46,yen
1000102,17,2022-09-21 06:54:59,USD
1000103,17,2023-11-13 07:44:24,USD
1000104,17,2023-04-16 17:16:49,USD
1000105,17,2022-11-09 04:19:46,USD
1000106,17,2023-08-11 23:34:53,USD
1000107,17,2023-04-07 14:57:43,JPY
1000108,17,2022-12-15 12:32:15,USD
1000109,17,2022-01-02 22:16:03,USD
1000110,18,2023-07-27 12:01:06,USD
1000111,18,2023-05-28 05:38:32,USD
1000112,19,2023-02-02 20:04:21,cny
1000113,19,2023-07-03 16:53:58,cny
1000114,19,2023-06-06 14:57:42,cny
1000115,19,2023-09-25 13:39:26,cny
1000116,19,2023-09-04 10:34:35,cny
1000117,19,2024-02-14 05:47:38,cny
1000118,19,2024-03-09 22:13:48,YEN
1000119,20,2024-03-08 07:42:15,jpy
1000120,20,2024-04-02 13:44:47,jpy
1000121,20,2024-01-25 18:59:06,jpy
1000122,20,2024-04-06 18:05:36,jpy
1000123,20,2024-03-02 13:19:19,jpy
1000124,20,2024-03-10 20:19:19,jpy
1000125,20,2024-02-19 06:30:43,jpy
1000126,20,2024-02-20 18:08:43,jpy
1000127,21,2023-10-06 09:17:15,YEN
1000128,22,2024-02-18 17:15:44,CNY
1000129,22,2024-01-22 04:29:37,CNY
1000130,23,2024-03-12 20:35:34,gbp
1000131,24,2021-09-19 16:33:07,JPY
1000132,24,2022-10-22 00:44:56,JPY
1000133,24,2022-07-18 05:56:47,JPY
1000134,24,2021-11-18 10:31:24,JPY
1000135,24,2023-03-27 04:57:38,jpy
1000136,25,2023-05-30 01:54:13, sgd
1000137,25,2022-06-19 19:37:48, sgd
1000138,25,2022-07-12 16:09:20,RMB
1000139,26,2021-07-29 07:25:15,usd
1000140,26,2022-03-07 03:57:30,usd
1000141,26,2022-12-29 07:52:53,usd
1000142,26,2024-01-12 02:08:42,CNY
1000143,26,2022-03-25 19:55:59,usd
1000144,26,2022-05-21 16:13:56,usd
1000145,26,2023-05-05 23:36:28,usd
1000146,26,2022-03-18 09:14:28,usd
1000147,26,2022-04-30 06:23:56,usd
1000148,26,2023-08-05 14:04:19,usd
1000149,26,2022-07-20 13:15:40,usd
1000150,26,2022-10-13 12:05:24,usd
1000151,26,2021-05-25 12:20:52,usd
1000152,26,2022-02-09 03:32:52,usd
1000153,26,2022-07-25 13:48:16,usd
1000154,26,2022-02-11 12:01:06,usd
1000155,26,2021-02-10 06:18:50,usd
1000156,26,2022-08-17 18:07:49,usd
1000157,27,2020-08-16 08:30:04,YEN
1000158,27,2021-04-23 13:09:35,usd
1000159,29,2023-09-11 01:33:25,sgd 
1000160,29,2023-08-14 14:12:38,sgd 
1000161,30,2023-05-09 23:59:36,CNY
1000162,30,2023-08-20 05:28:05,CNY
1000163,30,2024-04-08 10:06:53,CNY
1000164,30,2023-09-18 02:42:17,CNY
1000165,30,2024-02-11 02:26:33,CNY
1000166,30,2023-06-13 07:46:08,CNY
1000167,31,2021-07-01 14:56:43,CNY
1000168,31,2021-05-28 01:37:26,CNY
1000169,32,2023-06-11 14:29:13,cny
1000170,32,2022-05-23 15:00:19,rmb
1000171,32,2021-03-29 14:29:24,cny
1000172,32,2022-05-07 05:59:35,cny
1000173,32,2022-01-20 04:58:42,cny
1000174,32,2023-03-16 08:25:29,cny
1000175,32,2021-06-20 20:55:30,cny
1000176,32,2023-05-07 05:28:49,cny
1000177,32,2021-01-26 09:54:37,cny
1000178,33,2023-06-01 04:05:31, sgd
1000179,33,2023-07-05 03:33:47, sgd
1000180,33,2022-11-26 03:08:27, sgd
1000181,34,2023-11-17 12:01:22, sgd
1000182,34,2023-11-27 07:21:57, sgd
1000183,34,2023-12-10 21:06:25, sgd
1000184,34,2024-01-27 05:53:45,GBP
1000185,35,2021-10-19 19:22:20,JPY
1000186,35,2020-03-13 12:42:18,JPY
1000187,35,2020-06-18 01:37:51,JPY
1000188,35,2020-05-26 05:03:57,JPY
1000189,35,2021-08-08 10:09:46,JPY
1000190,35,2020-09-30 04:44:11,JPY
1000191,35,2020-06-12 18:04:24,JPY
1000192,35,2022-08-27 12:47:25,JPY
1000193,35,2021-07-08 19:40:47,rmb
1000194,35,2022-02-21 20:15:21,YEN
1000195,35,2022-09-09 17:32:05,JPY
1000196,35,2023-04-06 07:04:14,JPY
1000197,36,2023-09-12 00:02:08,SGD
1000198,36,2023-12-07 21:22:22,SGD
1000199,36,2023-05-21 03:25:21,SGD
1000200,36,2023-06-28 17:21:37,RMB
1000201,36,2024-01-30 23:42:53,usd
1000202,36,2023-10-12 13:51:18,SGD
1000203,37,2023-01-04 00:16:11,CNY
1000204,37,2022-06-20 10:30:38,CNY
1000205,37,2023-08-26 17:47:55,CNY
1000206,37,2023-02-14 14:34:24,CNY
1000207,37,2023-04-18 11:07:28,JPY
1000208,37,2023-08-11 05:22:50,CNY
1000209,37,2023-01-18 01:12:23,CNY
1000210,37,2023-05-06 02:24:16,CNY
1000211,38,2023-02-21 08:36:05,cny
1000212,38,2022-06-21 15:37:25,cny
1000213,38,2021-11-24 12:05:34,cny
1000214,38,2022-09-29 13:22:13,cny
1000215,38,2022-03-07 15:51:13,cny
1000216,38,2021-06-18 22:44:13,cny
1000217,38,2022-10-04 17:36:24,cny
1000218,40,2022-01-31 22:18:17, sgd
1000219,40,2020-09-16 22:48:26,gbp
1000220,40,2022-09-06 11:39:46,gbp
1000221,40,2021-06-15 14:03:21,yen
1000222,40,2020-08-05 00:38:43,gbp
1000223,41,2023-03-29 00:55:00,cny
1000224,41,2023-09-04 13:21:37,cny
1000225,41,2023-10-01 06:06:17,cny
1000226,41,2023-12-02 18:15:33,cny
1000227,41,2023-02-06 02:05:00,cny
1000228,41,2023-07-12 08:53:25,cny
1000229,41,2022-10-05 02:46:44,cny
1000230,42,2021-10-19 18:31:47,yen
1000231,42,2022-08-23 17:26:17,yen
1000232,42,2021-01-20 02:21:26,yen
1000233,42,2021-08-06 12:34:00,yen
1000234,42,2022-06-21 19:27:00,yen
1000235,42,2022-01-16 09:06:19,yen
1000236,42,2021-05-04 12:12:33,yen
1000237,42,2021-06-18 23:05:50,yen
1000238,42,2021-11-24 01:07:29,yen
1000239,42,2021-10-04 18:43:44,yen
1000240,42,2021-05-27 14:58:33,yen
1000241,42,2021-02-19 01:59:46,yen
1000242,43,2022-10-03 12:54:26,CNY
1000243,44,2024-04-08 19:25:05,EUR
1000244,45,2023-08-16 00:18:29,cny
1000245,45,2024-03-02 23:32:40,cny
1000246,45,2023-08-22 01:55:09,cny
1000247,45,2023-03-31 08:23:06,cny
1000248,45,2023-12-31 14:30:41,cny
1000249,46,2023-04-09 03:36:38,USD
1000250,46,2022-05-13 15:21:08,USD
1000251,46,2023-04-29 15:39:04,USD
1000252,46,2023-04-22 19:33:39,USD
1000253,46,2023-10-04 03:39:52,JPY
1000254,46,2022-03-20 06:50:14,usd
1000255,46,2022-10-21 21:57:56,YEN
1000256,46,2022-01-29 03:19:59,USD
1000257,46,2023-06-04 14:26:05,USD
1000258,46,2021-05-19 16:51:47,USD
1000259,46,2023-08-19 22:39:24,USD
1000260,46,2021-07-02 20:20:49,USD
1000261,46,2022-07-01 06:55:11,CNY
1000262,46,2023-07-06 08:11:53,cny
1000263,46,2020-10-02 23:15:15,USD
1000264,47,2024-03-23 05:16:00,jpy
1000265,47,2024-04-13 02:49:25,CNY
1000266,47,2024-04-08 03:40:43,CNY
1000267,47,2024-03-30 04:45:25,CNY
1000268,47,2024-04-14 17:29:07,CNY
1000269,47,2024-04-07 09:07:50,CNY
1000270,48,2023-05-04 11:02:41,CNY
1000271,48,2023-04-07 20:24:23,CNY
1000272,48,2023-05-29 14:46:30,CNY
1000273,48,2023-03-16 19:31:55, sgd
1000274,48,2023-03-30 09:54:33,CNY
1000275,48,2023-05-28 20:21:30,RMB
1000276,48,2023-09-15 02:09:37,CNY
1000277,48,2023-12-27 22:28:36,CNY
1000278,48,2023-12-23 16:44:58,rmb
1000279,49,2024-02-28 21:19:09,JPY
1000280,49,2024-03-20 10:54:38,JPY
1000281,49,2024-02-17 18:38:55,JPY
1000282,49,2024-03-22 15:55:42,JPY
1000283,49,2024-02-23 09:27:04,JPY
1000284,50,2023-12-16 08:48:31,gbp
1000285,51,2021-02-02 16:43:49,EUR
1000286,52,2024-01-12 14:06:26,eur
1000287,52,2023-10-22 19:18:24,eur
1000288,52,2023-12-29 02:48:48,eur
1000289,52,2023-11-13 12:48:48,RMB
1000290,53,2022-10-20 17:34:23,yen
1000291,53,2024-01-22 10:40:31,yen
1000292,53,2020-12-24 21:25:11,yen
1000293,53,2022-03-06 21:35:59,yen
1000294,53,2020-09-28 18:42:16,yen
1000295,53,2021-05-31 16:55:16,yen
1000296,53,2021-05-05 12:08:16,yen
1000297,53,2021-10-23 17:31:37,yen
1000298,53,2021-05-16 18:48:43,yen
1000299,53,2021-04-03 05:54:39,EUR
1000300,53,2022-02-05 19:54:13,yen
1000301,53,2020-06-14 21:33:32,yen
1000302,53,2022-02-09 00:30:20,yen
1000303,53,2022-05-12 15:04:08,yen
1000304,53,2021-11-17 18:34:50,yen
1000305,53,2021-06-03 02:22:08,yen
1000306,53,2021-12-28 00:48:12,yen
1000307,53,2022-08-11 08:18:41,yen
1000308,53,2020-11-16 20:49:58,yen
1000309,53,2021-12-24 03:38:42,yen
1000310,53,2022-01-05 13:38:36,yen
1000311,53,2020-09-22 13:32:37,yen
1000312,53,2021-07-27 16:19:55,yen
1000313,54,2024-01-23 21:40:42,GBP
1000314,55,2023-07-16 02:52:41,GBP
1000315,55,2022-01-27 07:10:35,GBP
